title,summary_en_ja,url,last_modified
Python (programming language),"
",https://en.wikipedia.org/wiki/Python_(programming_language),"This page was last edited on 8 December 2025, at 19:22 (UTC)."
ActivePython,"
",https://en.wikipedia.org/wiki/ActivePython,"This page was last edited on 2 December 2025, at 13:13 (UTC)."
Anaconda (Python distribution),"Anaconda is an open source[10][11] data science and artificial intelligence distribution platform for Python and R programming languages. Developed by Anaconda, Inc.,[12]  an American company[1] founded in 2012,[12] the platform is used to develop and manage data science and AI projects.[10] In 2024, Anaconda Inc. has about 300 employees[13] and 45 million users.[14]
Anaconda は、Python および R プログラミング言語用のオープンソース [10][11] データ サイエンスおよび人工知能配布プラットフォームです。 2012 年に設立されたアメリカの会社 [1] である Anaconda, Inc. [12] によって開発されたこのプラットフォームは、データ サイエンスと AI プロジェクトの開発と管理に使用されています [10]。 2024 年には、Anaconda Inc. の従業員数は約 300 名 [13] 、ユーザー数は 4,500 万人となっています [14]。",https://en.wikipedia.org/wiki/Anaconda_(Python_distribution),"This page was last edited on 6 November 2025, at 22:33 (UTC)."
Asynchronous Server Gateway Interface,"The Asynchronous Server Gateway Interface (ASGI) is a calling convention for web servers to forward requests to asynchronous-capable Python frameworks, and applications. It is built as a successor to the Web Server Gateway Interface (WSGI).
Asynchronous Server Gateway Interface (ASGI) は、Web サーバーがリクエストを非同期対応の Python フレームワークおよびアプリケーションに転送するための呼び出し規約です。これは、Web Server Gateway Interface (WSGI) の後継として構築されています。",https://en.wikipedia.org/wiki/Asynchronous_Server_Gateway_Interface,"This page was last edited on 15 June 2025, at 07:21 (UTC)."
Biopython,"
",https://en.wikipedia.org/wiki/Biopython,"This page was last edited on 15 November 2025, at 13:45 (UTC)."
CircuitPython,"CircuitPython[5] is an open-source derivative of the MicroPython programming language targeted toward students and beginners. Development of CircuitPython is supported by Adafruit Industries. It is a software implementation of the Python 3 programming language, written in C.[3] It has been ported to run on several modern microcontrollers.
CircuitPython[5] は、学生や初心者を対象とした MicroPython プログラミング言語のオープンソース派生です。 CircuitPython の開発は Adafruit Industries によってサポートされています。これは、C で書かれた Python 3 プログラミング言語のソフトウェア実装です。[3]いくつかの最新のマイクロコントローラーで実行できるように移植されています。",https://en.wikipedia.org/wiki/CircuitPython,"This page was last edited on 18 July 2025, at 10:25 (UTC)."
Core Python Programming,"Core Python Programming is a textbook on the Python programming language, written by Wesley J. Chun. The first edition of the book was released on December 14, 2000.[1] The second edition was released several years later on September 18, 2006.[2] Core Python Programming is mainly targeted at higher education students and IT professionals.[3]
『Core Python Programming』は、Wesley J. Chun によって書かれた Python プログラミング言語の教科書です。この本の初版は 2000 年 12 月 14 日に発売されました [1]。第 2 版は数年後の 2006 年 9 月 18 日にリリースされました [2]。 Core Python プログラミングは主に高等教育の学生と IT プロフェッショナルを対象としています。[3]",https://en.wikipedia.org/wiki/Core_Python_Programming,"This page was last edited on 25 September 2025, at 08:28 (UTC)."
Cython,"
",https://en.wikipedia.org/wiki/Cython,"This page was last edited on 7 November 2025, at 03:27 (UTC)."
Dive into Python,"Mark Pilgrim is a software developer, writer, and advocate of free software.  He authored a popular blog, and has written several books, including Dive into Python, a guide to the Python programming language published under the GNU Free Documentation License. Formerly an accessibility architect in the IBM Emerging Technologies Group,[2] he started working at Google in March 2007.[3] In 2018, he moved to Brave.[4][failed verification]
Mark Pilgrim は、ソフトウェア開発者、作家、フリー ソフトウェアの提唱者です。  彼は人気ブログを執筆しており、GNU Free Documentation License に基づいて発行されている Python プログラミング言語のガイドである Dive into Python など、数冊の本を執筆しています。以前は IBM Emerging Technologies Group のアクセシビリティ アーキテクトであった [2] が、2007 年 3 月に Google で働き始めました [3]。 2018年にブレイブに移籍 [4] [検証に失敗]",https://en.wikipedia.org/wiki/Dive_into_Python,"This page was last edited on 23 September 2025, at 16:42 (UTC)."
Django (web framework),"
",https://en.wikipedia.org/wiki/Django_(web_framework),"This page was last edited on 4 December 2025, at 22:11 (UTC)."
Django Girls,"
",https://en.wikipedia.org/wiki/Django_Girls,"This page was last edited on 13 June 2025, at 20:02 (UTC)."
Docstring,"A docstring is a string literal that annotates an associated section of source code. It provides for the same utility as a comment, but unlike a comment is a string literal and is retained as part of the running program. Some development tools display docstring information as part of an interactive help system.
docstring は、ソース コードの関連セクションに注釈を付ける文字列リテラルです。これはコメントと同じユーティリティを提供しますが、コメントとは異なり、文字列リテラルであり、実行中のプログラムの一部として保持されます。一部の開発ツールは、対話型ヘルプ システムの一部として docstring 情報を表示します。",https://en.wikipedia.org/wiki/Docstring,"This page was last edited on 17 September 2025, at 11:31 (UTC)."
Flask (web framework),"Flask is a micro web framework written in Python. It is classified as a microframework because it does not require particular tools or libraries.[2] It has no database abstraction layer, form validation, or any other components where pre-existing third-party libraries provide common functions. However, Flask supports extensions that can add application features as if they were implemented in Flask itself. Extensions exist for object-relational mappers, form validation, upload handling, various open authentication technologies and several common framework related tools.[3]
Flask は、Python で書かれたマイクロ Web フレームワークです。特定のツールやライブラリを必要としないため、マイクロフレームワークとして分類されます[2]。データベース抽象化レイヤー、フォーム検証、または既存のサードパーティ ライブラリが共通の機能を提供するその他のコンポーネントはありません。ただし、Flask は、Flask 自体に実装されているかのようにアプリケーション機能を追加できる拡張機能をサポートしています。オブジェクト リレーショナル マッパー、フォーム検証、アップロード処理、さまざまなオープン認証テクノロジ、およびいくつかの一般的なフレームワーク関連ツールの拡張機能が存在します。[3]",https://en.wikipedia.org/wiki/Flask_(web_framework),"This page was last edited on 28 October 2025, at 14:06 (UTC)."
Global interpreter lock,"A global interpreter lock (GIL) is a mechanism used in computer-language interpreters to synchronize the execution of threads so that only one native thread (per process) can execute basic operations (such as memory allocation and reference counting) at a time.[1] As a general rule, an interpreter that uses GIL will see only one thread to execute at a time, even if it runs on a multi-core processor, although some implementations provide for CPU intensive code to release the GIL, allowing multiple threads to use multiple cores. Some popular interpreters that have a GIL are CPython and Ruby MRI.
グローバル インタープリター ロック (GIL) は、コンピューター言語インタープリターでスレッドの実行を同期するために使用されるメカニズムであり、一度に 1 つのネイティブ スレッド (プロセスごと) だけが基本操作 (メモリ割り当てや参照カウントなど) を実行できるようにします。[1]原則として、GIL を使用するインタプリタは、マルチコア プロセッサ上で実行されている場合でも、一度に 1 つのスレッドのみを実行します。ただし、一部の実装では、GIL を解放するために CPU を集中的に使用するコードが提供され、複数のスレッドが複数のコアを使用できるようになります。 GIL を備えた一般的なインタプリタには、CPython と Ruby MRI があります。",https://en.wikipedia.org/wiki/Global_interpreter_lock,"This page was last edited on 20 November 2025, at 15:13 (UTC)."
History of Python,"
",https://en.wikipedia.org/wiki/History_of_Python,"This page was last edited on 3 December 2025, at 01:37 (UTC)."
List of Python software,"
",https://en.wikipedia.org/wiki/List_of_Python_software,"This page was last edited on 2 December 2025, at 16:54 (UTC)."
MicroPython,"
",https://en.wikipedia.org/wiki/MicroPython,"This page was last edited on 2 December 2025, at 03:38 (UTC)."
Mod python,"mod_python is an Apache HTTP Server module that integrates the Python programming language with the server. It is intended to provide a Python language binding for the Apache HTTP Server.
mod_python は、Python プログラミング言語をサーバーと統合する Apache HTTP Server モジュールです。これは、Apache HTTP サーバーに Python 言語バインディングを提供することを目的としています。",https://en.wikipedia.org/wiki/Mod_python,"This page was last edited on 30 March 2021, at 04:22 (UTC)."
Mojo (programming language),"Mojo is an in-development proprietary programming language based on Python[4][5][6] available for Linux and macOS.[7][8] Mojo aims to combine the usability of a high-level programming language, specifically Python, with the performance of a system programming language such as C++, Rust, and Zig.[9] As of October 2025[update], the Mojo compiler is closed source with an open source standard library. Modular, the company behind Mojo, has stated an intent to eventually open source the Mojo language, as it matures.[10]
Mojo は、Linux および macOS で利用可能な Python をベースとした開発中の独自プログラミング言語です[4][5][6]。 Mojo は、高水準プログラミング言語、特に Python の使いやすさと、C++、Rust、Zig などのシステム プログラミング言語のパフォーマンスを組み合わせることを目的としています。[9] 2025 年 10 月 [更新] の時点で、Mojo コンパイラーはオープンソースの標準ライブラリを備えたクローズド ソースです。 Mojo の背後にある会社である Modular は、Mojo 言語が成熟するにつれて、最終的にはオープンソース化する意向を表明しています[10]。",https://en.wikipedia.org/wiki/Mojo_(programming_language),"This page was last edited on 10 November 2025, at 20:11 (UTC)."
Numba,"Numba is an open-source JIT compiler that translates a subset of Python and NumPy into fast machine code using LLVM, via the llvmlite Python package. It offers a range of options for parallelising Python code for CPUs and GPUs, often with only minor code changes.
Numba は、llvmlite Python パッケージを介して LLVM を使用して、Python と NumPy のサブセットを高速マシン コードに変換するオープンソース JIT コンパイラーです。 CPU と GPU の Python コードを並列化するための幅広いオプションが提供されており、多くの場合、コードの変更はわずかです。",https://en.wikipedia.org/wiki/Numba,"This page was last edited on 19 September 2025, at 19:44 (UTC)."
NumPy,"NumPy (pronounced /ˈnʌmpaɪ/ NUM-py) is a library for the Python programming language, adding support for large, multi-dimensional arrays and matrices, along with a large collection of high-level mathematical functions to operate on these arrays.[3] The predecessor of NumPy, Numeric, was originally created by Jim Hugunin with contributions from several other developers. In 2005, Travis Oliphant created NumPy by incorporating features of the competing Numarray into Numeric, with extensive modifications. NumPy is open-source software and has many contributors. NumPy is fiscally sponsored by NumFOCUS.[4]
NumPy (/ˈnʌmpaɪ/ NUM-py と発音) は、Python プログラミング言語のライブラリであり、大規模な多次元配列と行列のサポートと、これらの配列を操作するための高度な数学関数の大規模なコレクションが追加されています。[3] NumPy の前身である Numeric は、もともと Jim Hugunin によって他の数人の開発者の協力を得て作成されました。 2005 年に、Travis Oliphant は、競合する Numarray の機能を Numeric に組み込み、大幅な変更を加えて NumPy を作成しました。 NumPy はオープンソース ソフトウェアであり、多くの貢献者がいます。 NumPy は NumFOCUS によって財政的に後援されています。[4]",https://en.wikipedia.org/wiki/NumPy,"This page was last edited on 4 November 2025, at 04:09 (UTC)."
Outline of the Python programming language,"The following outline is provided as an overview of and topical guide to Python:
次の概要は、Python の概要およびトピック別ガイドとして提供されています。",https://en.wikipedia.org/wiki/Outline_of_the_Python_programming_language,"This page was last edited on 21 October 2025, at 07:32 (UTC)."
Pandas (software),"
",https://en.wikipedia.org/wiki/Pandas_(software),"This page was last edited on 1 December 2025, at 01:58 (UTC)."
PyLadies,"PyLadies is an international mentorship group which focuses on helping more women become active participants in the Python open-source community.[1][2][3] It is part of the Python Software Foundation.[4] It was started in Los Angeles in 2011. The mission of the group is to create a diverse Python community through outreach, education, conferences and social gatherings. PyLadies also provides funding for women to attend open source conferences. The aim of PyLadies is increasing the participation of women in computing. PyLadies became a multi-chapter organization with the founding of the Washington, D.C.,[5] chapter in August 2011.
PyLadies は、より多くの女性が Python オープンソース コミュニティに積極的に参加できるよう支援することに重点を置いた国際的なメンターシップ グループです。[1][2][3]これは Python Software Foundation の一部です。[4] 2011 年にロサンゼルスで設立されました。このグループの使命は、アウトリーチ、教育、カンファレンス、懇親会を通じて多様な Python コミュニティを作成することです。 PyLadies は、女性がオープンソース カンファレンスに参加するための資金も提供しています。 PyLadies の目的は、コンピューティングへの女性の参加を増やすことです。 PyLadies は、2011 年 8 月にワシントン D.C. [5] 支部が設立され、複数の支部からなる組織になりました。",https://en.wikipedia.org/wiki/PyLadies,"This page was last edited on 6 May 2025, at 20:35 (UTC)."
