キーワード,title_en,タイトル,公開日時,リンク
AI,年末年始は大反騰、安値買い絶好機・生成AI関連「リベンジ5銘柄」 ＜株探トップ特集＞ | 特集 - 株探ニュース - かぶたん,年末年始は大反騰、安値買い絶好機・生成AI関連「リベンジ5銘柄」 ＜株探トップ特集＞ | 特集 - 株探ニュース - かぶたん,"Sat, 13 Dec 2025 10:30:00 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTE9kUm9MSmZlTHNCY01jNm0zS2VkQVYwNkV1UlVFeERlSTRQRGVuaWNGbmVyM1FGS1UyTk5QNHJDRWpUaGJGUS0tMFFlZE1jbEdsLVA0YVVTTkwwMFhGU3VPMA?oc=5
AI,NY株式市場 ダウ下落 ナスダック大幅下落 AI関連に売り優勢 - NHKニュース,NY株式市場 ダウ下落 ナスダック大幅下落 AI関連に売り優勢 - NHKニュース,"Fri, 12 Dec 2025 22:59:10 GMT",https://news.google.com/rss/articles/CBMiX0FVX3lxTE1MUGxjMTQ0b0MyNVN1elU1c3VJSTZMeU8zVmZVaEFFSjNEb1RmZ0RCZFBoSmVXWW5Ba0p5eHpXbi1TczRSN1lrSEZpSUlVWDBXWkRJMm41MzF2MHhTb2lB?oc=5
AI,「フィジカルAI」はAI相場の新たな柱となるか？（土信田雅之） - トウシル,「フィジカルAI」はAI相場の新たな柱となるか？（土信田雅之） - トウシル,"Thu, 11 Dec 2025 23:00:00 GMT",https://news.google.com/rss/articles/CBMiWkFVX3lxTFBxMC1VTDg3LUNEU3dJcWpSd2ZaS01WTmpKSzJadlotcHVIcjFxX19uSnQ3eXRNcFQ0UXBfT3BZYnlsV1dVZDlwMTFKQ2pzaEg4TGZXVFZjR19zUQ?oc=5
AI,米国のAI投資、ITバブル再来は本当か データで検証 - 日本経済新聞,米国のAI投資、ITバブル再来は本当か データで検証 - 日本経済新聞,"Fri, 12 Dec 2025 20:00:56 GMT",https://news.google.com/rss/articles/CBMibEFVX3lxTE5laXlHd1dvRDdsTmdsUDA0aEF2aXJydkszSVE0UmJrS1BycTVBZGpxQk9YNTVmMTBNZ1F3Z01EVHUwalRyWl9JLTR4U3VkVHlpZzVKUzFzdTJJY2pybXhHRmNFSEFlbmFiTXpScQ?oc=5
AI,【特集】 生成AIを使ったら儲かった4つの攻め技 - かぶたん,【特集】 生成AIを使ったら儲かった4つの攻め技 - かぶたん,"Fri, 12 Dec 2025 01:30:00 GMT",https://news.google.com/rss/articles/CBMiYEFVX3lxTFA4VEFIenRPU2VsMzJJdDZjRGtSM2I3WDhWdGFWSFBBTEpiMFJsdDhWcW5OdDlWcVV2cEdBcTU3bWY3aTVLWVpIeUMwYkZfTDFjcktDN0hkWDZxOHNidnhKNQ?oc=5
AI,電機業界投資に意欲 数千億円規模も、ＡＩで需要増―米ブラックストーン - 時事ドットコム,電機業界投資に意欲 数千億円規模も、ＡＩで需要増―米ブラックストーン - 時事ドットコム,"Sat, 13 Dec 2025 22:05:00 GMT",https://news.google.com/rss/articles/CBMiY0FVX3lxTE9icXVtdlJCbzMwRGNXVXVaTy1DajQxMUIza1VkenNsOEVnR295cW1SOElpeTcxRGdaTGhsa3ZxZGE3cHR1R1hQbUJuejJna181NXlqR1FJSjF5dENYbmVadWdxbw?oc=5
AI,"「AI幻覚」で4,400万円返金 Deloitteの失態が示す“汎用AI95％失敗”の現実（AMP［アンプ］） - Yahoo!ニュース","「AI幻覚」で4,400万円返金 Deloitteの失態が示す“汎用AI95％失敗”の現実（AMP［アンプ］） - Yahoo!ニュース","Sat, 13 Dec 2025 21:04:54 GMT",https://news.google.com/rss/articles/CBMif0FVX3lxTFByVXlVVEdEVEF0amhHNUhoa3pKNzMxTU1FVi04dmVRMVE2Sjgxby1RZlRrRVFSQjhjdGlueUFWSnd0amsxeG9sNEdScEJLeHpLX2V3LXFDVUh6TG5PNGh4bzk1dEw2cXZWV1BjWkFwOHBVU2JFdkh5NU5aM3hzQTg?oc=5
AI,過去や未来が操作可能になり、AIが超知能化する…？ わくわくするけれどもちょっと恐ろしい未来が垣間見えた - ダイヤモンド・オンライン,過去や未来が操作可能になり、AIが超知能化する…？ わくわくするけれどもちょっと恐ろしい未来が垣間見えた - ダイヤモンド・オンライン,"Sat, 13 Dec 2025 21:45:00 GMT",https://news.google.com/rss/articles/CBMiTEFVX3lxTE5JcjYtS3NSS2NRbktBRG9xZFFWM0lHUmk2cXVQUWk2cGs1MGpRM3FTRmZrUl80VW50ajYzM3Q2STdRU3ZjVVdSZ1VyRUTSAU9BVV95cUxQdHBqLTNIRTV1NHhCb2UyYjl5cS1SQTV6UnVIUmFVWmdXandiU1p3TjBFUHgwX1hseVZFX3hLalYwMEk0eS1oaWc1MGNoODhZ?oc=5
AI,オープンＡＩ、新モデル「ＧＰＴ─５．２」発表 グーグルに対抗 - Reuters,オープンＡＩ、新モデル「ＧＰＴ─５．２」発表 グーグルに対抗 - Reuters,"Fri, 12 Dec 2025 01:13:00 GMT",https://news.google.com/rss/articles/CBMijAFBVV95cUxNRkR0bERyZ2FfdkJoZ2dVa1VjVmZYT3hLbmltQ1NJSVdHM3R0NkFBcUpySF9mSXlhYXk5aVR6TVVpRVdUcWc1OC1fTXFfRjUySWZzaW9EejRaa3dCZFJLMnY4U3FjUEhVOXY0aFVqbjQ3WUNKQWVWLXQzbEJBTVZPTDJGWjFLdzBNTFNlZg?oc=5
AI,プレゼン作成の苦痛を解消、グーグルのAIツール「Mixboard」を使ってみた - ZDNET Japan,プレゼン作成の苦痛を解消、グーグルのAIツール「Mixboard」を使ってみた - ZDNET Japan,"Thu, 11 Dec 2025 00:30:00 GMT",https://news.google.com/rss/articles/CBMiU0FVX3lxTFA3M3VoTXAwaVN0VGtlYTU1MkZnZmloX3o1NWs1aUROT1FoS0FyRlpESEZmXzNrdzRrZHZFdWRSZWlFNHZ2WHZjOHN4eUdsZnFTdDJR?oc=5
Python,Pythonでつくるデスクトップアプリ - zagazola.org,Pythonでつくるデスクトップアプリ - zagazola.org,"Fri, 12 Dec 2025 10:08:39 GMT",https://news.google.com/rss/articles/CBMiUEFVX3lxTE5MVmJtRTFqU3Z2NGl0T2RLU2pra3poRnZTTEd4UXlXc0ZCMEh1VjFkREtqNHlNbDlWa3F4NUhyQlhQZmJlTnE4Q1pWWXhRWjVY?oc=5
Python,AIコーディング時代、Pythonに厳格な型付けは必要？ 作者グイド・ヴァンロッサム氏にGitHubが聞いた - ITmedia,AIコーディング時代、Pythonに厳格な型付けは必要？ 作者グイド・ヴァンロッサム氏にGitHubが聞いた - ITmedia,"Fri, 12 Dec 2025 04:00:00 GMT",https://news.google.com/rss/articles/CBMickFVX3lxTE5UOG05bDVWV1pfZnB3R1ZBRW9MNElvcGwxWk1uMjhVYUloakc0S0NXUUwtTGNaU0xpR0h6dnl3THNrc3RSYkZ5LWpKRnZnWnpyZ2d6dllkclAyOG1rbXVWMFFSdWN3clRLQUpsMlQzRXBpQQ?oc=5
Python,Rustで書かれた高速Python型チェッカー「Pyrefly」の紹介 - gihyo.jp,Rustで書かれた高速Python型チェッカー「Pyrefly」の紹介 - gihyo.jp,"Thu, 04 Dec 2025 00:01:00 GMT",https://news.google.com/rss/articles/CBMiYkFVX3lxTFBwcFhJVEZVTFR4dHljMENGYTBnY2trdEZCRHotY1dqYlhkaV9WazJXeV9JdWhnWTZWMU1xbDAwbHBnNnc5Ujc0Z3M3WGl5ZVlLZEpSOTlDd0oxM29sbjJGYWtR?oc=5
Python,【学生の・学生による・学生のための体験講座】 機械学習とPythonプログラミング講座 - 湘南工科大学,【学生の・学生による・学生のための体験講座】 機械学習とPythonプログラミング講座 - 湘南工科大学,"Thu, 11 Dec 2025 00:02:33 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTE9NQ1FKdzJTSUQxUXU4MWpPWnAxR0JJMW9pMVNTd1JVaVJEVzdhVnZBelVBZXk4Y2JmRjZtTWFGZWptWl9LZV9EbkxmUXpDM1R0eVlFckhBaXljU1E?oc=5
Python,一般社団法人Pythonエンジニア育成推進協会：鉄下駄様のPython 3 エンジニア認定データ分析試験合格体験記を公開しました - 朝日新聞,一般社団法人Pythonエンジニア育成推進協会：鉄下駄様のPython 3 エンジニア認定データ分析試験合格体験記を公開しました - 朝日新聞,"Sat, 13 Dec 2025 02:06:42 GMT",https://news.google.com/rss/articles/CBMiW0FVX3lxTFBab0I2Mi0wVFVsSUhYc1Jxb3NfWVl0Qy1JN21aUFNHVGF3ZHVTUFMxbnRWckJJSUR1blRrZ0Z5Ty1uYWNZQ1JsOUFraEt5aHRTOWV5S1IxZWF0SVU?oc=5
Python,Pythonで地理空間データを地図上に可視化する「Folium」の解説書が発売 - 窓の杜,Pythonで地理空間データを地図上に可視化する「Folium」の解説書が発売 - 窓の杜,"Tue, 09 Dec 2025 08:27:23 GMT",https://news.google.com/rss/articles/CBMidkFVX3lxTFBKUmlnWFg4WXpMQjhLaGEzNGltdWNiVUgyYzFDSFA1X1F1NGlUdlZkQU83ejJhWmJLTXRyVHhRbVRILV9oRUVyUUVBT3FMZGdQTGhFTVV6SnF6Q01fYXZldWlLcWxqUngwV214UDRQTVN2NEhkOEE?oc=5
